date,account,entry_type,region,value
2026-03-24,Thombay,pokemon,alola,67.0
2026-03-24,Thombay,pokemon,galar,67.0
2026-03-24,Thombay,pokemon,hisui,6.0
2026-03-24,Thombay,pokemon,paldea,63.0
2026-03-24,Cerius,pokemon,kanto,151.0
2026-03-24,Cerius,pokemon,johto,98.0
2026-03-24,Cerius,pokemon,hoenn,130.0
2026-03-24,Cerius,pokemon,sinnoh,93.0
2026-03-24,Cerius,pokemon,unova,149.0
2026-03-24,Cerius,pokemon,kalos,68.0
2026-03-24,Cerius,pokemon,alola,62.0
2026-03-24,Cerius,pokemon,galar,58.0
2026-03-24,Cerius,pokemon,hisui,6.0
2026-03-24,Cerius,pokemon,paldea,54.0
2026-03-24,Thomzay,pokemon,kanto,146.0
2026-03-24,Thomzay,pokemon,johto,88.0
2026-03-24,Thomzay,pokemon,hoenn,108.0
2026-03-24,Thomzay,pokemon,sinnoh,78.0
2026-03-24,Thomzay,pokemon,unova,115.0
2026-03-24,Thomzay,pokemon,kalos,61.0
2026-03-24,Thomzay,pokemon,alola,48.0
2026-03-24,Thomzay,pokemon,galar,53.0
2026-03-24,Thomzay,pokemon,hisui,2.0
2026-03-24,Thomzay,pokemon,paldea,49.0
2026-04-13,Thombay,pokemon,kanto,151.0
2026-04-13,Thombay,pokemon,johto,100.0
2026-04-13,Thombay,pokemon,hoenn,135.0
2026-04-13,Thombay,pokemon,sinnoh,104.0
2026-04-13,Thombay,pokemon,unova,156.0
2026-04-13,Thombay,pokemon,kalos,72.0
2026-04-13,Thombay,pokemon,alola,68.0
2026-04-13,Thombay,pokemon,galar,68.0
2026-04-13,Thombay,pokemon,hisui,6.0
2026-04-13,Thombay,pokemon,paldea,63.0
2026-04-13,Cerius,pokemon,kanto,151.0
2026-04-13,Cerius,pokemon,johto,98.0
2026-04-13,Cerius,pokemon,hoenn,130.0
2026-04-13,Cerius,pokemon,sinnoh,94.0
2026-04-13,Cerius,pokemon,unova,149.0
2026-04-13,Cerius,pokemon,kalos,69.0
2026-04-13,Cerius,pokemon,alola,63.0
2026-04-13,Cerius,pokemon,galar,59.0
2026-04-13,Cerius,pokemon,hisui,6.0
2026-04-13,Cerius,pokemon,paldea,55.0
2026-04-13,Thomzay,pokemon,kanto,149.0
2026-04-13,Thomzay,pokemon,johto,90.0
2026-04-13,Thomzay,pokemon,hoenn,112.0
2026-04-13,Thomzay,pokemon,sinnoh,79.0
2026-04-13,Thomzay,pokemon,unova,118.0
2026-04-13,Thomzay,pokemon,kalos,64.0
2026-04-13,Thomzay,pokemon,alola,51.0
2026-04-13,Thomzay,pokemon,galar,54.0
2026-04-13,Thomzay,pokemon,hisui,2.0
2026-04-13,Thomzay,pokemon,paldea,51.0
2026-04-30,Thombay,pokemon,kanto,151.0
2026-04-30,Thombay,pokemon,johto,100.0
2026-04-30,Thombay,pokemon,hoenn,135.0
2026-04-30,Thombay,pokemon,sinnoh,104.0
2026-04-30,Thombay,pokemon,unova,156.0
2026-04-30,Thombay,pokemon,kalos,72.0
2026-04-30,Thombay,pokemon,alola,69.0
2026-04-30,Thombay,pokemon,galar,68.0
2026-04-30,Thombay,pokemon,hisui,6.0
2026-04-30,Thombay,pokemon,paldea,64.0
2026-04-30,Thombay,pokemon,unidentified,2.0
2026-04-30,Thombay,shiny,kanto,58.0
2026-04-30,Thombay,shiny,johto,40.0
2026-04-30,Thombay,shiny,hoenn,42.0
2026-04-30,Thombay,shiny,sinnoh,25.0
2026-04-30,Thombay,shiny,unova,22.0
2026-04-30,Thombay,shiny,kalos,17.0
2026-04-30,Thombay,shiny,alola,6.0
2026-04-30,Thombay,shiny,galar,9.0
2026-04-30,Thombay,shiny,paldea,16.0
2026-04-30,Thombay,shiny,unidentified,2.0
2026-04-30,Thombay,lucky,kanto,50.0
2026-04-30,Thombay,lucky,johto,13.0
2026-04-30,Thombay,lucky,hoenn,16.0
