date,account,medal_id,value
2025-05-21,Thombay,life_of_a_party,259.0
2025-05-21,Thombay,master_league_veteran,138.0
2025-05-21,Thombay,mega_evolution_guru,11.0
2025-05-21,Thombay,normal,12354.0
2025-05-21,Thombay,paldea,36.0
2025-05-21,Thombay,picnicker,312.0
2025-05-21,Thombay,pikachu_fan,340.0
2025-05-21,Thombay,pilot,585725.0
2025-05-21,Thombay,poison,6099.0
2025-05-21,Thombay,pokemon_caught,35187.0
2025-05-21,Thombay,pokemon_ranger,681.0
2025-05-21,Thombay,pokestops_visited,25257.0
2025-05-21,Thombay,psychic,4960.0
2025-05-21,Thombay,purifier,291.0
2025-05-21,Thombay,raid_expert,130.0
2025-05-21,Thombay,rising_star,106.0
2025-05-21,Thombay,rising_star_duo,226.0
2025-05-21,Thombay,rock,1893.0
2025-05-21,Thombay,scientist,1550.0
2025-05-21,Thombay,showcase_star,1.0
2025-05-21,Thombay,sightseer,1523.0
2025-05-21,Thombay,sinnoh,100.0
2025-05-21,Thombay,steel,1149.0
2025-05-21,Thombay,successor,40.0
2025-05-21,Thombay,tiny_pokemon_collector,71.0
2025-05-21,Thombay,triathlete,71.0
2025-05-21,Thombay,ultra_hero,8.0
2025-05-21,Thombay,ultra_league_veteran,93.0
2025-05-21,Thombay,unova,152.0
2025-05-21,Thombay,unown,6.0
2025-05-21,Thombay,water,7050.0
2025-05-21,Thombay,wayfarer,6.0
2025-05-21,Thombay,youngster,94.0
2025-06-27,Thombay,ace_trainer,201.0
2025-06-27,Thombay,alola,50.0
2025-06-27,Thombay,backpacker,27687.0
2025-06-27,Thombay,battle_girl,1591.0
2025-06-27,Thombay,battle_legend,216.0
2025-06-27,Thombay,berry_master,7764.0
2025-06-27,Thombay,best_buddy,7.0
2025-06-27,Thombay,breeder,1225.0
2025-06-27,Thombay,bug,4798.0
2025-06-27,Thombay,cameraman,107.0
2025-06-27,Thombay,champion,155.0
2025-06-27,Thombay,collector,37382.0
2025-06-27,Thombay,community_member,0.0
2025-06-27,Thombay,dark,2105.0
2025-06-27,Thombay,distance_walked,6293.4
2025-06-27,Thombay,dragon,555.0
2025-06-27,Thombay,electric,2370.0
2025-06-27,Thombay,expert_navigator,45.0
